record_id,department,defect_type,corridor_id,severity,days_overdue,asset_age_years,days_since_last_inspection,previous_failure_count,traffic_density_rank,corridor_utilization_pct,maintenance_duration_mins,weather_risk_factor,failure_risk_probability,failure_risk_class,dataset_type
RS-ML-10304,SMMS,TRACK_CIRCUIT_DROP,NDLS-HWH-01,1,0.0,23.2,244,4,4,75.1,60,0.61,0.4465,HIGH,RailSync synthetic prototype training data
RS-ML-10305,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,1,8.4,15.0,58,0,4,88.4,45,0.21,0.3034,MEDIUM,RailSync synthetic prototype training data
RS-ML-10306,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,3,0.0,25.2,311,1,4,70.5,150,0.84,0.4637,HIGH,RailSync synthetic prototype training data
RS-ML-10307,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,2,1.0,30.7,359,1,2,93.2,45,0.3,0.3544,MEDIUM,RailSync synthetic prototype training data
RS-ML-10308,TDMS,MAST_EARTHING_LOOSE,CNB-MGS-01,1,0.0,27.1,6,1,1,61.9,90,0.67,0.1408,LOW,RailSync synthetic prototype training data
RS-ML-10309,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,2,0.0,20.6,292,1,4,84.2,180,0.55,0.4585,HIGH,RailSync synthetic prototype training data
RS-ML-10310,SMMS,AXLE_COUNTER_RESET,CNB-MGS-01,2,1.8,18.6,160,1,2,90.0,45,0.72,0.3235,MEDIUM,RailSync synthetic prototype training data
RS-ML-10311,TMS,SLEEPER_LOOSENING,HWH-MGS-03,3,0.6,30.5,317,2,1,87.1,60,0.47,0.5118,HIGH,RailSync synthetic prototype training data
RS-ML-10312,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-HWH-01,4,0.0,14.4,314,0,4,75.9,120,0.69,0.4341,HIGH,RailSync synthetic prototype training data
RS-ML-10313,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,1,0.0,32.4,268,0,5,69.9,90,0.6,0.2788,MEDIUM,RailSync synthetic prototype training data
RS-ML-10314,SMMS,RELAY_CHATTER,NDLS-CNB-07,3,1.5,37.1,47,7,4,63.7,90,0.52,0.5579,HIGH,RailSync synthetic prototype training data
RS-ML-10315,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,0.0,31.1,118,2,4,73.6,120,0.21,0.3857,HIGH,RailSync synthetic prototype training data
RS-ML-10316,SMMS,DATA_LOGGER_FAIL,NDLS-HWH-01,2,7.3,13.2,62,3,5,54.6,240,0.92,0.4495,HIGH,RailSync synthetic prototype training data
RS-ML-10317,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,3,0.0,32.8,249,0,2,79.6,90,0.77,0.3892,HIGH,RailSync synthetic prototype training data
RS-ML-10318,TMS,FISHPLATE_CRACK,NDLS-HWH-01,3,6.0,10.4,150,0,1,72.4,60,0.48,0.363,MEDIUM,RailSync synthetic prototype training data
RS-ML-10319,TMS,LC_FLANGEWAY_CLEAN,NDLS-CNB-07,2,0.0,8.0,126,4,2,88.8,150,0.19,0.4769,HIGH,RailSync synthetic prototype training data
RS-ML-10320,TMS,TRACK_TWIST,HWH-MGS-03,4,1.6,29.2,280,5,3,68.8,120,0.49,0.7818,CRITICAL,RailSync synthetic prototype training data
RS-ML-10321,TMS,SLEEPER_LOOSENING,NDLS-CNB-07,1,0.0,30.5,247,5,3,63.0,60,0.46,0.4876,HIGH,RailSync synthetic prototype training data
RS-ML-10322,TMS,SEJ_GAP_ABNORMAL,HWH-MGS-03,2,1.4,0.8,348,0,5,90.4,60,0.54,0.4141,HIGH,RailSync synthetic prototype training data
RS-ML-10323,SMMS,RELAY_CHATTER,NDLS-CNB-07,2,2.1,8.4,193,1,5,47.7,90,0.78,0.4295,HIGH,RailSync synthetic prototype training data
RS-ML-10324,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,3,0.0,7.9,79,1,4,69.2,150,0.76,0.3647,MEDIUM,RailSync synthetic prototype training data
RS-ML-10325,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,3,2.1,2.8,133,1,3,55.2,150,0.55,0.4164,HIGH,RailSync synthetic prototype training data
RS-ML-10326,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,1,0.0,5.0,350,6,5,78.0,60,0.93,0.505,HIGH,RailSync synthetic prototype training data
RS-ML-10327,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,2,3.6,11.2,326,5,3,64.7,180,0.81,0.6065,CRITICAL,RailSync synthetic prototype training data
RS-ML-10328,TMS,RAIL_CORRUGATION,CNB-MGS-01,1,1.8,12.4,152,2,4,85.7,150,0.72,0.3538,MEDIUM,RailSync synthetic prototype training data
RS-ML-10329,TMS,WELD_FRACTURE,NDLS-CNB-07,5,0.0,25.3,43,0,1,43.7,240,0.54,0.3895,HIGH,RailSync synthetic prototype training data
RS-ML-10330,TMS,BALLAST_DEFICIENCY,NDLS-HWH-01,1,1.3,23.7,46,2,2,83.1,240,0.61,0.3318,MEDIUM,RailSync synthetic prototype training data
RS-ML-10331,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,3,9.6,12.7,246,1,5,66.0,60,0.58,0.6564,CRITICAL,RailSync synthetic prototype training data
RS-ML-10332,SMMS,EARTH_LEAKAGE,HWH-MGS-03,2,0.9,24.5,161,4,1,65.8,150,0.42,0.4269,HIGH,RailSync synthetic prototype training data
RS-ML-10333,SMMS,AXLE_COUNTER_RESET,CNB-MGS-01,2,2.3,20.6,355,5,1,84.8,120,0.59,0.5482,HIGH,RailSync synthetic prototype training data
RS-ML-10334,TDMS,ISOLATOR_SWITCH_JAM,CNB-MGS-01,1,0.0,33.6,226,1,4,88.5,90,0.29,0.3184,MEDIUM,RailSync synthetic prototype training data
RS-ML-10335,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,3,0.7,20.4,140,1,3,46.5,240,0.61,0.3819,HIGH,RailSync synthetic prototype training data
RS-ML-10336,TMS,TURNOUT_WEAR,HWH-MGS-03,1,0.0,1.2,28,6,1,56.5,60,0.69,0.3134,MEDIUM,RailSync synthetic prototype training data
RS-ML-10337,TMS,USFD_MICRO_CRACK,NDLS-CNB-07,2,5.5,12.2,258,7,3,44.7,60,0.1,0.549,HIGH,RailSync synthetic prototype training data
RS-ML-10338,TDMS,CANTILEVER_INSULATOR_FLASH,HWH-MGS-03,1,0.5,34.1,131,3,2,62.5,240,0.27,0.3305,MEDIUM,RailSync synthetic prototype training data
RS-ML-10339,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-CNB-07,4,0.0,26.1,162,5,1,83.6,45,0.28,0.5955,CRITICAL,RailSync synthetic prototype training data
RS-ML-10340,SMMS,SIGNAL_LAMP_FUSED,CNB-MGS-01,3,0.0,32.9,114,6,4,59.0,60,0.76,0.5492,HIGH,RailSync synthetic prototype training data
RS-ML-10341,TMS,WELD_FRACTURE,HWH-MGS-03,5,4.1,6.3,48,0,3,94.5,30,0.1,0.4788,HIGH,RailSync synthetic prototype training data
RS-ML-10342,SMMS,DATA_LOGGER_FAIL,NDLS-HWH-01,1,5.7,9.2,288,3,4,82.9,30,0.67,0.481,HIGH,RailSync synthetic prototype training data
RS-ML-10343,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,2,0.0,20.9,253,0,3,58.9,240,0.3,0.3176,MEDIUM,RailSync synthetic prototype training data
RS-ML-10344,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,1,2.1,6.3,154,3,5,62.2,60,0.84,0.3752,MEDIUM,RailSync synthetic prototype training data
RS-ML-10345,SMMS,RELAY_CHATTER,NDLS-HWH-01,3,5.1,20.7,201,0,2,75.9,150,0.42,0.4093,HIGH,RailSync synthetic prototype training data
RS-ML-10346,TMS,TRACK_TWIST,NDLS-HWH-01,3,0.0,35.7,94,4,4,51.2,30,0.56,0.5535,HIGH,RailSync synthetic prototype training data
RS-ML-10347,SMMS,EARTH_LEAKAGE,CNB-MGS-01,1,3.7,8.8,39,0,1,67.4,30,0.37,0.1163,LOW,RailSync synthetic prototype training data
RS-ML-10348,SMMS,CABLE_INSULATION_LOW,CNB-MGS-01,3,0.0,2.7,318,0,1,88.8,45,0.9,0.3903,HIGH,RailSync synthetic prototype training data
RS-ML-10349,SMMS,DATA_LOGGER_FAIL,HWH-MGS-03,1,2.9,20.2,130,1,5,64.3,45,0.74,0.3355,MEDIUM,RailSync synthetic prototype training data
RS-ML-10350,SMMS,POWER_SUPPLY_FLUCTUATION,HWH-MGS-03,3,3.8,6.8,95,1,5,98.4,240,0.89,0.5188,HIGH,RailSync synthetic prototype training data
RS-ML-10351,TDMS,CONTACT_WIRE_WEAR,HWH-MGS-03,3,0.8,16.6,168,2,5,94.2,120,0.37,0.4759,HIGH,RailSync synthetic prototype training data
RS-ML-10352,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,3,0.0,37.4,308,0,3,40.4,90,0.24,0.3587,MEDIUM,RailSync synthetic prototype training data
RS-ML-10353,TDMS,NEUTRAL_SECTION_ARCING,NDLS-CNB-07,1,0.0,17.8,82,0,5,54.6,120,0.78,0.2642,MEDIUM,RailSync synthetic prototype training data
RS-ML-10354,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,3,4.1,27.6,250,0,5,87.9,45,0.59,0.5295,HIGH,RailSync synthetic prototype training data
RS-ML-10355,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-HWH-01,5,7.1,13.0,225,1,2,83.7,30,0.62,0.6909,CRITICAL,RailSync synthetic prototype training data
RS-ML-10356,SMMS,POINT_MACHINE_FAILURE,CNB-MGS-01,4,0.9,12.5,292,0,1,79.4,180,0.92,0.4583,HIGH,RailSync synthetic prototype training data
RS-ML-10357,TMS,BALLAST_DEFICIENCY,CNB-MGS-01,3,0.2,6.1,175,0,4,55.4,180,0.5,0.3388,MEDIUM,RailSync synthetic prototype training data
RS-ML-10358,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-CNB-07,4,0.0,7.9,205,2,5,98.3,90,0.27,0.5559,HIGH,RailSync synthetic prototype training data
RS-ML-10359,SMMS,EARTH_LEAKAGE,NDLS-HWH-01,1,0.0,16.0,190,0,5,78.3,120,0.2,0.3049,MEDIUM,RailSync synthetic prototype training data
RS-ML-10360,TMS,USFD_MICRO_CRACK,NDLS-CNB-07,2,0.0,35.2,122,0,1,46.6,30,0.27,0.2278,MEDIUM,RailSync synthetic prototype training data
RS-ML-10361,TDMS,NEUTRAL_SECTION_ARCING,NDLS-HWH-01,2,0.0,30.7,159,1,2,83.3,90,0.23,0.306,MEDIUM,RailSync synthetic prototype training data
RS-ML-10362,SMMS,TRACK_CIRCUIT_DROP,HWH-MGS-03,3,0.0,37.7,358,2,5,93.0,30,0.28,0.5728,CRITICAL,RailSync synthetic prototype training data
RS-ML-10363,SMMS,TRACK_CIRCUIT_DROP,NDLS-HWH-01,2,0.0,35.9,37,1,3,90.6,30,0.31,0.3119,MEDIUM,RailSync synthetic prototype training data
RS-ML-10364,TDMS,MAST_EARTHING_LOOSE,NDLS-CNB-07,4,3.2,19.6,53,4,1,50.9,240,0.55,0.5035,HIGH,RailSync synthetic prototype training data
RS-ML-10365,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,2,0.0,28.4,12,0,3,53.8,120,0.78,0.211,LOW,RailSync synthetic prototype training data
RS-ML-10366,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,4,3.7,36.1,118,0,1,82.7,90,0.43,0.4125,HIGH,RailSync synthetic prototype training data
RS-ML-10367,TMS,TURNOUT_WEAR,CNB-MGS-01,2,5.6,5.4,337,0,2,58.1,60,0.44,0.3599,MEDIUM,RailSync synthetic prototype training data
RS-ML-10368,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-CNB-07,4,0.6,21.4,63,0,1,84.8,180,0.92,0.3554,MEDIUM,RailSync synthetic prototype training data
RS-ML-10369,TDMS,NEUTRAL_SECTION_ARCING,NDLS-CNB-07,3,3.4,4.5,97,0,5,73.2,90,0.59,0.4374,HIGH,RailSync synthetic prototype training data
RS-ML-10370,TMS,WELD_FRACTURE,CNB-MGS-01,3,4.4,29.7,71,1,3,50.8,180,0.49,0.4373,HIGH,RailSync synthetic prototype training data
RS-ML-10371,TMS,WELD_FRACTURE,CNB-MGS-01,5,0.2,8.8,346,7,4,90.7,240,0.67,0.8027,CRITICAL,RailSync synthetic prototype training data
RS-ML-10372,TDMS,CATENARY_TENSION_LOW,HWH-MGS-03,2,0.0,2.1,197,2,5,74.7,30,0.52,0.3532,MEDIUM,RailSync synthetic prototype training data
RS-ML-10373,TMS,SLEEPER_LOOSENING,HWH-MGS-03,4,0.2,2.0,201,1,3,65.7,120,0.75,0.5106,HIGH,RailSync synthetic prototype training data
RS-ML-10374,TMS,RAIL_CORRUGATION,HWH-MGS-03,2,0.0,35.0,356,1,4,45.3,45,0.21,0.3399,MEDIUM,RailSync synthetic prototype training data
RS-ML-10375,SMMS,CABLE_INSULATION_LOW,HWH-MGS-03,2,0.8,1.4,235,1,4,45.3,150,0.67,0.3308,MEDIUM,RailSync synthetic prototype training data
RS-ML-10376,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,3,1.7,27.0,327,1,5,75.8,60,0.39,0.4634,HIGH,RailSync synthetic prototype training data
RS-ML-10377,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-CNB-07,5,0.0,7.2,29,1,4,56.9,60,0.16,0.4634,HIGH,RailSync synthetic prototype training data
RS-ML-10378,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,3,5.8,10.0,237,1,5,91.6,90,0.25,0.5519,HIGH,RailSync synthetic prototype training data
RS-ML-10379,TMS,TURNOUT_WEAR,NDLS-HWH-01,1,0.8,21.0,320,2,2,48.7,150,0.08,0.2914,MEDIUM,RailSync synthetic prototype training data
RS-ML-10380,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,4,0.0,2.3,216,7,3,75.7,60,0.92,0.6475,CRITICAL,RailSync synthetic prototype training data
RS-ML-10381,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,0.2,14.7,37,3,4,47.9,120,0.35,0.3315,MEDIUM,RailSync synthetic prototype training data
RS-ML-10382,TMS,SLEEPER_LOOSENING,NDLS-CNB-07,3,0.0,4.6,325,1,5,94.6,120,0.43,0.5153,HIGH,RailSync synthetic prototype training data
RS-ML-10383,SMMS,EARTH_LEAKAGE,CNB-MGS-01,4,2.4,23.5,257,1,2,91.7,90,0.69,0.5324,HIGH,RailSync synthetic prototype training data
RS-ML-10384,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,3,0.0,24.0,63,2,5,98.4,180,0.09,0.4026,HIGH,RailSync synthetic prototype training data
RS-ML-10385,TMS,DRAINAGE_CLEARANCE,NDLS-CNB-07,3,1.4,10.0,37,0,1,46.7,150,0.36,0.2977,MEDIUM,RailSync synthetic prototype training data
RS-ML-10386,SMMS,EARTH_LEAKAGE,NDLS-HWH-01,3,2.3,7.8,176,5,1,77.8,240,0.19,0.4764,HIGH,RailSync synthetic prototype training data
RS-ML-10387,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,4,1.3,2.6,269,0,5,41.1,150,0.77,0.4893,HIGH,RailSync synthetic prototype training data
RS-ML-10388,TDMS,CONTACT_WIRE_WEAR,NDLS-HWH-01,4,0.0,11.0,18,0,5,89.3,180,0.22,0.4169,HIGH,RailSync synthetic prototype training data
RS-ML-10389,TMS,FISHPLATE_CRACK,NDLS-HWH-01,2,1.3,3.8,124,1,5,57.7,45,0.39,0.3908,HIGH,RailSync synthetic prototype training data
RS-ML-10390,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,2,0.0,1.4,250,4,3,94.0,120,0.75,0.566,CRITICAL,RailSync synthetic prototype training data
RS-ML-10391,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,1,0.0,1.9,201,2,1,80.2,45,0.35,0.3082,MEDIUM,RailSync synthetic prototype training data
RS-ML-10392,TDMS,CANTILEVER_INSULATOR_FLASH,CNB-MGS-01,1,0.0,28.9,330,4,2,56.8,150,0.75,0.399,HIGH,RailSync synthetic prototype training data
RS-ML-10393,TMS,TRACK_TWIST,NDLS-HWH-01,5,0.0,21.5,55,0,3,55.9,120,0.57,0.4277,HIGH,RailSync synthetic prototype training data
RS-ML-10394,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,0.4,2.4,17,1,1,45.0,180,0.21,0.154,LOW,RailSync synthetic prototype training data
RS-ML-10395,TDMS,FEEDER_BREAKER_TRIP,CNB-MGS-01,2,0.0,31.2,346,3,4,73.2,45,0.78,0.4734,HIGH,RailSync synthetic prototype training data
RS-ML-10396,TDMS,FEEDER_BREAKER_TRIP,NDLS-HWH-01,2,0.5,26.2,241,1,5,55.1,150,0.4,0.3855,HIGH,RailSync synthetic prototype training data
RS-ML-10397,TDMS,CONTACT_WIRE_WEAR,HWH-MGS-03,2,0.7,3.0,60,1,3,75.4,60,0.51,0.2265,MEDIUM,RailSync synthetic prototype training data
RS-ML-10398,TMS,LC_FLANGEWAY_CLEAN,NDLS-HWH-01,2,1.9,24.9,157,1,5,54.3,60,0.93,0.4094,HIGH,RailSync synthetic prototype training data
RS-ML-10399,TDMS,MAST_EARTHING_LOOSE,HWH-MGS-03,2,0.3,13.3,358,0,5,88.9,45,0.58,0.4016,HIGH,RailSync synthetic prototype training data
RS-ML-10400,SMMS,DATA_LOGGER_FAIL,NDLS-HWH-01,3,0.0,7.1,210,0,5,85.1,180,0.34,0.4094,HIGH,RailSync synthetic prototype training data
RS-ML-10401,TMS,RAIL_CORRUGATION,NDLS-HWH-01,3,0.0,25.3,234,1,5,66.2,90,0.66,0.4994,HIGH,RailSync synthetic prototype training data
RS-ML-10402,TMS,TURNOUT_WEAR,CNB-MGS-01,4,3.3,35.6,179,7,5,63.6,60,0.82,0.8257,CRITICAL,RailSync synthetic prototype training data
RS-ML-10403,TDMS,OHE_DROPPER_SNAP,CNB-MGS-01,3,1.8,11.1,18,0,3,81.6,180,0.39,0.3218,MEDIUM,RailSync synthetic prototype training data
RS-ML-10404,SMMS,AXLE_COUNTER_RESET,HWH-MGS-03,1,0.0,21.3,187,3,2,47.9,45,0.63,0.3681,MEDIUM,RailSync synthetic prototype training data
RS-ML-10405,SMMS,AXLE_COUNTER_RESET,NDLS-HWH-01,1,9.3,30.7,236,4,5,50.5,180,0.55,0.633,CRITICAL,RailSync synthetic prototype training data
RS-ML-10406,SMMS,RELAY_CHATTER,NDLS-CNB-07,1,4.4,23.2,298,1,3,64.0,150,0.08,0.3771,MEDIUM,RailSync synthetic prototype training data
RS-ML-10407,TMS,TURNOUT_WEAR,HWH-MGS-03,4,5.3,3.5,272,7,4,70.2,45,0.27,0.7493,CRITICAL,RailSync synthetic prototype training data
RS-ML-10408,SMMS,INTERLOCKING_CIRCUIT_FAULT,CNB-MGS-01,4,2.5,34.4,276,3,4,73.6,150,0.43,0.7073,CRITICAL,RailSync synthetic prototype training data
RS-ML-10409,TMS,WELD_FRACTURE,CNB-MGS-01,5,3.0,21.6,34,2,3,87.3,30,0.31,0.5622,CRITICAL,RailSync synthetic prototype training data
RS-ML-10410,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,3,0.0,10.9,70,2,3,40.8,45,0.59,0.4205,HIGH,RailSync synthetic prototype training data
RS-ML-10411,SMMS,RELAY_CHATTER,NDLS-CNB-07,2,0.1,26.8,251,0,1,96.6,60,0.8,0.3201,MEDIUM,RailSync synthetic prototype training data
RS-ML-10412,TDMS,MAST_EARTHING_LOOSE,HWH-MGS-03,1,6.5,17.0,329,0,1,77.6,45,0.1,0.2542,MEDIUM,RailSync synthetic prototype training data
RS-ML-10413,SMMS,DATA_LOGGER_FAIL,NDLS-CNB-07,2,2.0,27.0,245,0,3,94.2,240,0.39,0.3958,HIGH,RailSync synthetic prototype training data
RS-ML-10414,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,1,8.8,20.4,184,5,3,59.6,120,0.77,0.5774,CRITICAL,RailSync synthetic prototype training data
RS-ML-10415,SMMS,SIGNAL_LAMP_FUSED,NDLS-CNB-07,2,0.0,25.9,95,0,1,88.7,30,0.42,0.2843,MEDIUM,RailSync synthetic prototype training data
RS-ML-10416,SMMS,POWER_SUPPLY_FLUCTUATION,CNB-MGS-01,1,0.2,11.1,101,0,5,78.4,90,0.91,0.2304,MEDIUM,RailSync synthetic prototype training data
RS-ML-10417,TMS,TURNOUT_WEAR,NDLS-CNB-07,2,7.9,29.1,334,1,2,54.8,240,0.64,0.4438,HIGH,RailSync synthetic prototype training data
RS-ML-10418,TMS,USFD_MICRO_CRACK,CNB-MGS-01,3,0.0,26.5,344,3,2,85.7,120,0.75,0.5363,HIGH,RailSync synthetic prototype training data
RS-ML-10419,TMS,GAUGE_CORRECTION,NDLS-CNB-07,2,0.0,18.9,105,2,4,46.3,180,0.25,0.368,MEDIUM,RailSync synthetic prototype training data
RS-ML-10420,SMMS,POWER_SUPPLY_FLUCTUATION,CNB-MGS-01,1,0.1,3.2,295,2,4,48.7,30,0.89,0.3364,MEDIUM,RailSync synthetic prototype training data
RS-ML-10421,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,2,4.6,35.7,254,1,1,71.6,30,0.4,0.3901,HIGH,RailSync synthetic prototype training data
RS-ML-10422,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,2,0.0,35.6,186,0,1,77.0,45,0.38,0.305,MEDIUM,RailSync synthetic prototype training data
RS-ML-10423,TDMS,NEUTRAL_SECTION_ARCING,NDLS-CNB-07,1,0.0,2.0,199,2,4,92.4,150,0.49,0.3171,MEDIUM,RailSync synthetic prototype training data
RS-ML-10424,TDMS,FEEDER_BREAKER_TRIP,NDLS-CNB-07,1,0.0,7.7,306,0,5,77.6,240,0.53,0.3103,MEDIUM,RailSync synthetic prototype training data
RS-ML-10425,TDMS,OHE_DROPPER_SNAP,CNB-MGS-01,3,0.0,30.0,24,1,5,66.8,60,0.72,0.354,MEDIUM,RailSync synthetic prototype training data
RS-ML-10426,TMS,TRACK_TWIST,NDLS-HWH-01,5,0.2,18.8,12,1,2,40.8,30,0.86,0.4517,HIGH,RailSync synthetic prototype training data
RS-ML-10427,SMMS,EARTH_LEAKAGE,NDLS-HWH-01,3,0.2,4.5,257,1,2,64.9,180,0.34,0.3778,MEDIUM,RailSync synthetic prototype training data
RS-ML-10428,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,2,1.4,36.7,112,3,1,56.0,180,0.2,0.3385,MEDIUM,RailSync synthetic prototype training data
RS-ML-10429,TMS,TURNOUT_WEAR,NDLS-HWH-01,1,0.1,30.2,326,2,4,44.7,30,0.21,0.3774,MEDIUM,RailSync synthetic prototype training data
RS-ML-10430,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,2,0.0,30.8,246,2,3,70.6,180,0.27,0.4586,HIGH,RailSync synthetic prototype training data
RS-ML-10431,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,3,0.7,29.8,181,1,5,97.1,150,0.83,0.5563,HIGH,RailSync synthetic prototype training data
RS-ML-10432,TDMS,ISOLATOR_SWITCH_JAM,NDLS-CNB-07,2,0.0,24.0,109,0,2,80.1,240,0.5,0.2911,MEDIUM,RailSync synthetic prototype training data
RS-ML-10433,TMS,FISHPLATE_CRACK,CNB-MGS-01,1,0.2,9.9,318,3,1,94.1,60,0.19,0.4258,HIGH,RailSync synthetic prototype training data
RS-ML-10434,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,1,0.0,9.3,230,1,2,83.7,150,0.26,0.3099,MEDIUM,RailSync synthetic prototype training data
RS-ML-10435,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,2,0.0,8.8,244,1,4,48.5,240,0.21,0.3788,MEDIUM,RailSync synthetic prototype training data
RS-ML-10436,TMS,USFD_MICRO_CRACK,NDLS-CNB-07,3,0.0,37.1,106,0,5,43.5,60,0.15,0.3399,MEDIUM,RailSync synthetic prototype training data
RS-ML-10437,TDMS,CATENARY_TENSION_LOW,CNB-MGS-01,3,3.0,30.1,329,5,5,90.0,45,0.42,0.7039,CRITICAL,RailSync synthetic prototype training data
RS-ML-10438,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,3,0.0,11.0,222,2,3,65.4,90,0.85,0.4584,HIGH,RailSync synthetic prototype training data
RS-ML-10439,SMMS,POINT_MACHINE_FAILURE,HWH-MGS-03,5,1.9,2.0,243,2,4,68.0,45,0.46,0.6186,CRITICAL,RailSync synthetic prototype training data
RS-ML-10440,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,3,0.0,15.7,114,0,1,40.9,120,0.2,0.2298,MEDIUM,RailSync synthetic prototype training data
RS-ML-10441,SMMS,POWER_SUPPLY_FLUCTUATION,HWH-MGS-03,3,3.4,33.3,210,0,1,90.3,45,0.4,0.4305,HIGH,RailSync synthetic prototype training data
RS-ML-10442,SMMS,DATA_LOGGER_FAIL,NDLS-HWH-01,2,5.5,28.7,360,5,1,76.3,150,0.71,0.6615,CRITICAL,RailSync synthetic prototype training data
RS-ML-10443,SMMS,POINT_MACHINE_FAILURE,NDLS-HWH-01,4,0.0,18.0,23,1,5,81.2,90,0.17,0.4531,HIGH,RailSync synthetic prototype training data
RS-ML-10444,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,3,4.9,28.2,300,4,2,58.7,120,0.5,0.6131,CRITICAL,RailSync synthetic prototype training data
RS-ML-10445,TMS,USFD_MICRO_CRACK,HWH-MGS-03,2,2.7,31.6,243,2,3,66.4,150,0.77,0.4988,HIGH,RailSync synthetic prototype training data
RS-ML-10446,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,3,0.0,17.7,44,1,1,46.4,120,0.15,0.2583,MEDIUM,RailSync synthetic prototype training data
RS-ML-10447,TMS,DRAINAGE_CLEARANCE,NDLS-HWH-01,2,1.9,36.9,280,5,1,57.1,45,0.07,0.5399,HIGH,RailSync synthetic prototype training data
RS-ML-10448,TDMS,ISOLATOR_SWITCH_JAM,CNB-MGS-01,2,3.8,13.4,333,3,5,89.3,240,0.46,0.4844,HIGH,RailSync synthetic prototype training data
RS-ML-10449,TMS,GAUGE_CORRECTION,NDLS-CNB-07,2,0.0,36.9,27,0,2,76.2,60,0.69,0.239,MEDIUM,RailSync synthetic prototype training data
RS-ML-10450,TMS,RAIL_CORRUGATION,NDLS-CNB-07,1,1.6,4.9,165,1,2,72.9,30,0.65,0.3014,MEDIUM,RailSync synthetic prototype training data
RS-ML-10451,TMS,RAIL_CORRUGATION,CNB-MGS-01,1,9.2,1.4,258,3,2,40.3,150,0.63,0.4595,HIGH,RailSync synthetic prototype training data
RS-ML-10452,TMS,GAUGE_CORRECTION,NDLS-CNB-07,3,0.0,27.8,229,0,4,92.7,60,0.66,0.4799,HIGH,RailSync synthetic prototype training data
RS-ML-10453,SMMS,SIGNAL_LAMP_FUSED,HWH-MGS-03,2,0.9,12.7,314,2,3,51.4,45,0.53,0.4049,HIGH,RailSync synthetic prototype training data
RS-ML-10454,TMS,DRAINAGE_CLEARANCE,NDLS-HWH-01,4,10.1,15.3,254,0,3,63.3,180,0.38,0.5792,CRITICAL,RailSync synthetic prototype training data
RS-ML-10455,TMS,USFD_MICRO_CRACK,NDLS-HWH-01,1,0.0,33.8,215,3,4,82.6,180,0.18,0.4489,HIGH,RailSync synthetic prototype training data
RS-ML-10456,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-CNB-07,4,0.0,18.3,271,7,5,84.2,45,0.06,0.6797,CRITICAL,RailSync synthetic prototype training data
